abarijʉ,"cosa blanda (como tierra, fruta de árbol, coca pilada, herida, abdomen)."
abase,"ser/estar) blando, blanda (casabe, lodo)."
abee,ay no! (exclamación de amor frustrado).
abi,"ay!, ¡oh!, ¡huy! (¡Qué pequeño! ¡Qué cantidad tan pequeña!: exclamación de sorpresa por el tamaño o la cantidad pequeña de algo, especialmente comida)."
aboo,"abuu úúú interj. ¡ah!, ¡oh!, ¡huy! (¡Qué (cosa) más grande! exclamación de sorpresa al ver más cantidad o tamaño de lo que esperaba)."
abu E,aburi J inan.s.de masa alga.
aburi J,abu E inan.s.de masa alga.
áburi,"inan.s.de masa zumo, jugo de yuca brava (no venenoso)."
abʉʉ,"ajá! (¡qué bueno!, exclamación de placer)."
ade,"puf!, ¡uf!, ¡fo! (exclamación de disgusto)."
adi,"huy!, ¡horrible! (uso: dicho a un niño jugando en un charco u otro lugar desagradable para regañarlo o comentar en el hecho)."
adiwii,esta casa’.
adigodo,"este mundo, este lugar."
adijaʉ,"adijʉ d pron.dem.inan. 1 este, esta (cosa, uso: se dice cuando el hablante no sabe el nombre de una cosa). 2 aquí, este lugar (más pequeño que adojʉ)."
adio,ésta.
adirʉ ʉ,"pron.dem., adv. hoy."
adirʉ ʉri,"hoy en día, en estos días."
ado,"1 acá, aquí (área más grande que adijʉ). 16 adore. Él no está acá. 2 esto (de modo o cantidad). V. bajiro. ado bajiro así, de esta manera."
adocʉ E,"ado quĩji J cuan.an. este tamaño de (animal, persona). V. nocʉ ."
adojʉ,este lugar (más grande que adijʉ/adijaʉ).
aga,"agaʉ g , agʉ g interj. ¡ah!, ¡ay!, ¡ay de mí!, ¡ax!, ¡oh! (exclamación de dolor, dolencia o angustia)."
ago cʉ e E,"ago na J gó n interj. ¡ah!, ¡ay de mí!, ¡oh! (exclamación de desmayo al ver que alguien o algo no está)."
aguii,"ah!, ¡ay!, ¡huy!, ¡oh! (exclamación de asombro/sorpresa al ver alguien o algo de repente)."
ai yire,eructar.
ajare,"reírse, sonreírse."
ajatudire,"mofarse de, burlarse de."
aje,"semillas, pepas."
ajea,pene.
ajejoore J,ajesejare E v.i. acostumbrarse a jugar.
ajere,"1 jugar. 2 burlarse de. 1 pelotas. 2 juegos, deportes. sing. ajeria. pl. ajere, ajeriari. V. rujaa. ajeria pelota"
ajeria,pelota.
