aburua,"eburua, êburua, ehberua s.an.pl. renacuajos."
agã,"culebra, serpiente, víbora. Ophidia (sub-o)."
agã bùcù,"raya. F. Dasyatidae, Dasyatis centrourus."
agã cahsaro,piel de culebra. sinón. agã to suhtiweri cahsaro. V.pal.prin. cahsaro. V. suhti witira.
agã curiaca,tobillo.
agã dapu,lagartija cabeza de culebra.
agã to suhtiweri cahsaro,piel de culebra.
ahri,"este, esta."
ahri coa sehe,"esta parte, este lado."
ahri pahrê sehe,"esta parte, este lado."
ahrie sehe,"este lado. sinón. ahri coa sehe, ahri pahrê sehe. V.pal.prin. sehe."
ahrire,lo siguiente.
ahriro choro,este peligroso (ser animado). pl. ahrina chori. V. choro.
ahsiãna,aihsiãna v.i. estornudar.
áira,eructar. 14
ananicã,"enano, enana."
anjo,anju s.an. ángel.
arê diho dapora,"apretar, instalar."
arê dihodù,destornillador.
arê dihori waca,tornillo.
arê pura,"enchuecar, exprimir (torciendo)."
arêna,moler.
arêno,molino.
arusu,arroz.
awi,aguja.
awica,aguja (para jeringa).
ã,"así, tal."
ã bùgù ñù dujiriro,alguien alerto.
ã cahyarucura,estar de luto. lit. siempre recuerda. 15
ã durucu macanocahna,"mentir. sinón. ã ni macanocahna, mahñona."
ã jica nierara,"1 ser apático, apática; indiferente. 2 estar contento, contenta. 3 ser inocente. 4 estar quieto, quieta."
ã jica nierariro,"1 alguien apático, alguien indiferente. 2 alguien contento. 3 un inocente."
ã jicù,"entonces, por eso (dicho por sujeto masculino). 2a pers. pl. ã jina dicho por sujeto segunda persona plural, 3a pers.pl. ã jia dicho por sujeto tercera persona plural, 3a pers.sing. ã jiro dicho por sujeto tercera persona singular, s.f. ã jico dicho por sujeto femenino. V. ã yoa."
ã jichù,ã jichâ conj. y.
ã jiro,1 por eso. 2 y.
ã jirucura,ser inmortal.
ã ni macanocahna,mentir.
ã ñùnocahna,1 tolerar. 2 ser indiferente. sinón. ã tùhotunocahna. antón. suara1.
ã ñùnocariro,"alguien tolerante, indiferente. 16"
ã suhanocahna,tejer por pasatiempo.
ã tùhotunocahna,"1 tolerar. 2 ser indiferente, no importarse. 1."
ã tùhotunocariro,"alguien tolerante, indiferente. s.f. ã tùhotunocaricoro. sinón. ã ñùnocariro."
ã tjira,"ãta jira v.est. así es, por supuesto."
ã wacû macanocahna,pensar mentiras.
ã wanocahna,"obsequiar, regalar."
ã waro nino nierara,"1 ser urgente. 2 no mentir, no tomar de pelo."
ã yoa,y.
ã yoa tuhsùcù,"luego (dicho por sujeto masculino). 2a pers.pl. ã yoa tuhsùna dicho por sujeto segunda persona plural, 3a pers.pl. ã yoa tuhsùa dicho por sujeto tercera persona plural, s.f. ã yoa tuhsùco dicho por sujeto femenina."
ã yoacù,"desde luego, por eso (dicho por sujeto masculino)."
ã yoaga nina,autorizar. 17
ã yù wanocari cjiri,"obsequio(s), regalo(s)."
ãja,âjù adv. sí.
ãta,así mismo.
"ãta jira, nina","ã tjira, nina v.i. conceder, concordar."
"ãta yoaihca, nina","comprometer. V. ãta jira, nina."
baaro1,canasta de hojas (parece una caja).
baaro2,"gavilán plomizo, águila plomiza. Ictinea plumbea."
babão,papaya.
bachù,yù bachù) s.m. tío (hermano de la madre).
bagaro,"cantor, compositor, músico."
baha,"pez pavón, pez tucunaré. Cichla ocellaris subsp."
baha mona,pez curbinata. Plagioscion sp.
Bahapoa,Tucunaré (nombre de un cacerío wanano en el río Vaupés). lit. el raudal del tucunaré.
baharo,"después de. 1 después. 18 2 detrás, tras."
baharo bùhùsehe,espalda.
baharo bùhùsehe sehe,al revés.
baharo wapaa dutira,fiar.
bahca dihora,1 morder. 2 callarse la boca.
bahcara,morder.
bahcari bara,cicatriz de una mordida.
baho,yù baho) s.f. hermana menor.
baho macono,yù baho macono) s.f. sobrina.
baho macùno,yù baho macùno) s.m. sobrino.
bahrañona,"hacerlo pronto, pronta. gram. Este verbo funciona como un verbo auxiliar. Véase Notas sobre la gramática wanana, sección 2.13.4. waha bahrañona ir pronto, rápidamente."
bahù,yù bahù) s.m. hermano menor.
bahù macono,yù bahù macono) s.f. sobrina (wanana). pl. bahù pohna numia. s.m. bahù macùno. sinón. yai maco. V. wahmi macono. baharo bùhùsehe WananoEspañol 19
bahù macùno,"yù bahù macùno) s.m. sobrino (wanano). pl. bahù pohna. s.f. bahù macono. sinón. wahmi macùno, yai macù."
bajapera,mecer jugando.
bajara,mecer. sinón. bajapera.
bajãi,pez barbudo. Pinirampus pirinampu.
baju mùaa wahara,aparecer de repente.
baju yoariro,"alguien conocido, famoso."
bajuamehnea,pl. 1 milagros (creando algo). 2 visiones.
bajuamehnena,"crear, originar."
bajuamehneri,to bajumehneri) s.inan. creación.
bajuamehneriro,1 el Creador. 2 creador. pl. bajuamehneina. s.f. bajuamehnericoro.
bajuara,1 aparecer. 2 salir (el sol o la luna).
bajuerara,1 ser invisible. 2 no aparecer. 20 bajuerara. Lo esperamos por mucho tiempo y él no apareció. antón. bajuara. 3 no ver (bien).
bajura,"1 tener apariencia. 2 parecerse a; ser parecido, parecida a."
bajuro wara,"aclarar, poner en claro."
bajuro yoara,"1 hacer ademán. 2 aclarar, poner en claro."
bara1,nadar.
bara2,"podrirse, descomponerse, deteriorar."
bará,"numia bará goa afrodisiaco, afrodisiaca."
barara,desportillar.
barari tira,"ser abigarrado, abigarrada; pintado, pintada."
baro,"asunto, cosa."
basa buhsa,adornos (para bailar).
basa ñoriro,músico.
basa wamoa,pl./sing. instrumento(s) especial(es) de música.
